"","HUC4","HUC2","toBasin","level"
"1","0101","01",NA,0
"2","0102","01","0105",0
"3","0106","01",NA,0
"4","0107","01",NA,0
"5","0108","01",NA,0
"6","0109","01",NA,0
"7","0110","01",NA,0
"8","0202","02","0203",0
"9","0204","02",NA,0
"10","0205","02","0206",0
"11","0206","02","0208",1
"12","0301","03",NA,0
"13","0302","03",NA,0
"14","0303","03",NA,0
"15","0304","03",NA,0
"16","0305","03",NA,0
"17","0306","03",NA,0
"18","0307","03",NA,0
"19","0308","03",NA,0
"20","0309","03",NA,0
"21","0310","03",NA,0
"22","0311","03",NA,0
"23","0312","03",NA,0
"24","0313","03",NA,0
"25","0314","03",NA,0
"26","0315","03","0316",0
"27","0317","03",NA,0
"28","0318","03",NA,0
"29","0424","04","0409",3
"30","0401","04","0418",0
"31","0403","04","0419",0
"32","0418","04","0420",1
"33","0419","04","0424",1
"34","0409","04","0426",4
"35","0426","04","0427",5
"37","0428","04","0429",7
"38","0430","04",NA,7
"39","0501","05","0503",0
"40","0503","05","0509",1
"41","0509","05","0514",2
"42","0601","06","0602",0
"43","0602","06","0603",1
"44","0603","06","0604",2
"45","0702","07","0701",0
"46","0701","07","0704",1
"47","0704","07","0706",2
"48","0706","07","0708",3
"49","0708","07","0711",4
"50","0712","07","0713",0
"51","0711","07","0714",11
"52","0514","08","0801",4
"53","0801","08","0802",13
"54","0802","08","0803",14
"55","0805","08","0804",0
"56","0803","08","0806",15
"57","0806","08","0807",16
"58","0804","08","0808",3
"59","0807","08","0809",17
"60","0901","09",NA,0
"61","0902","09",NA,0
"62","0903","09",NA,0
"63","0904","09",NA,0
"64","1002","10","1003",0
"65","1003","10","1004",1
"66","1004","10","1006",2
"67","1007","10","1010",0
"68","1006","10","1011",3
"69","1011","10","1013",4
"70","1013","10","1014",5
"71","1014","10","1017",6
"72","1018","10","1020",0
"73","1017","10","1023",7
"74","1023","10","1024",8
"75","1025","10","1027",0
"76","1024","10","1030",9
"77","1102","11","1103",0
"78","1104","11","1105",0
"79","1103","11","1106",1
"80","1108","11","1109",0
"81","1106","11","1111",2
"82","1112","11","1113",0
"83","1113","11","1114",1
"84","1201","12","1204",0
"85","1205","12","1206",0
"86","1206","12","1207",1
"87","1208","12","1209",0
"88","1210","12",NA,0
"89","1211","12",NA,0
"90","1301","13","1302",0
"91","1302","13","1303",1
"92","1303","13","1304",2
"93","1305","13",NA,0
"94","1306","13","1307",0
"95","1304","13","1308",3
"96","1308","13","1309",4
"97","1402","14","1401",0
"98","1401","14","1403",1
"99","1404","14","1406",0
"100","1403","14","1407",2
"101","1502","15","1501",0
"102","1501","15","1503",4
"103","1504","15","1505",0
"104","1505","15","1507",1
"105","1508","15",NA,0
"106","1601","16","1602",0
"107","1603","16",NA,0
"108","1604","16","1605",0
"109","1606","16",NA,0
"110","1701","17","1702",0
"111","1704","17","1705",0
"112","1705","17","1706",1
"113","1702","17","1707",3
"114","1707","17","1708",4
"115","1710","17",NA,0
"116","1711","17",NA,0
"117","1712","17",NA,0
"118","1801","18",NA,0
"119","1802","18",NA,0
"120","1803","18","1804",0
"121","1805","18",NA,0
"122","1806","18",NA,0
"123","1807","18",NA,0
"124","1808","18",NA,0
"125","1809","18",NA,0
"126","1810","18",NA,0
"127","0103","01","0105",0
"128","0203","02",NA,1
"129","0207","02","0208",0
"130","0316","03",NA,1
"131","0402","04","0418",0
"132","0404","04","0419",0
"133","0420","04","0424",2
"134","0410","04","0426",0
"135","0413","04","0428",0
"136","0429","04",NA,8
"137","0502","05","0503",0
"138","0505","05","0509",0
"139","0510","05","0514",0
"140","0703","07","0704",0
"141","0707","07","0706",0
"142","0709","07","0708",0
"143","0710","07","0711",0
"144","0714","08","0801",12
"145","1101","08","0802",0
"146","1114","08","0804",2
"147","0808","08",NA,4
"148","0809","08",NA,18
"149","1005","10","1006",0
"150","1008","10","1010",0
"151","1012","10","1013",0
"152","1015","10","1017",0
"153","1019","10","1020",0
"154","1020","10","1024",1
"155","1026","10","1027",0
"156","1028","10","1030",0
"157","1105","11","1106",1
"158","1110","11","1109",0
"159","1107","11","1111",0
"160","1202","12","1204",0
"161","1207","12",NA,2
"162","1209","12",NA,1
"163","1309","13",NA,5
"164","1405","14","1406",0
"165","1406","14","1407",1
"166","1407","15","1501",3
"167","1507","15","1503",2
"168","1506","15","1507",0
"169","1602","16",NA,1
"170","1605","16",NA,1
"171","1703","17","1702",0
"172","1709","17","1708",0
"173","1804","18",NA,1
"174","0104","01","0105",0
"175","0208","02",NA,2
"176","0405","04","0419",0
"177","0407","04","0424",0
"178","0411","04","0426",0
"179","0414","04","0428",0
"180","0427","04","0430",6
"181","0504","05","0503",0
"182","0506","05","0509",0
"183","0511","05","0514",0
"184","0705","07","0704",0
"185","0713","07","0711",1
"186","1111","08","0802",3
"187","1010","10","1006",1
"188","1009","10","1010",0
"189","1016","10","1017",0
"190","1021","10","1020",0
"191","1029","10","1030",0
"192","1109","11","1111",1
"193","1203","12","1204",0
"194","1307","13","1304",1
"195","1408","14","1407",0
"196","1503","15",NA,5
"197","1706","17","1702",2
"198","1708","17",NA,5
"199","0105","01",NA,1
"200","0406","04","0419",0
"201","0408","04","0424",0
"202","0412","04","0426",0
"203","0507","05","0509",0
"204","0512","05","0514",0
"205","1030","07","0711",10
"206","1022","10","1020",0
"207","1027","10","1030",1
"208","1204","12",NA,1
"209","0508","05","0509",0
"210","0513","05","0514",0
"211","0604","05","0514",3
